Sentence,Sentiment
technopoli and the st petersburg govern sign a cooper memorandum in octob to set up a techno-park in the neudorf product zone in the villag of strelni in the st petersburg suburb,positive
tieto in latvia is repres by it servic compani tietoen alis and tietoen which has oper in the industri of financi servic card retail and logist and it outsourc and manag servic,neutral
updat -nomura rbs must pay mln in mortgag bond case-us judg,negative
compar oper profit decreas to eur mn from eur mn in the correspond period in,negative
appl inc the rip-roar ralli is just beginning! aapl investorplac aapl,positive
the owner who have particip in the busi oper of the compani will continu in poyri s employ after the transact,neutral
these new unit will be built at cargotec s state of the art manufactur facil in san antonio texa usa which start oper in,neutral
the recruit who have complet the k-retail traine program are qualifi to start a career as independ retail in k-store,neutral
fb trend hit mid s and drop,negative
after non-recur item of eur mn profit amount to eur mn,neutral
the current refer grade instrument are challeng to oper due to their high price and complex for routin use,negative
share of nokia corp rose thursday after the cell phone maker said it third-quart earn almost doubl and it share of the global handset market increas,positive
oper profit for the -month period decreas from eur m while net sale increas from eur m as compar to,negative
finnish plumb and heat system supplier uponor s net sale in continu busi oper decreas to eur mn in july-septemb compar to eur mn in the third quarter of,negative
oper profit declin main due to the increas cost of wood and recycl fiber and the strengthen euro,neutral
pretax profit total eur mn down from eur mn in,negative
- demand for fireplac product was lower than expect especi in germani,neutral
shire share price under pressur after bn baxalta deal,negative
marketsshir up and baxalta up on bn deal,positive
aapl afternoon selloff as usual will be brutal get readi to lose a ton of money,negative
standard charter shift emerging-market strategi after loss,negative
we are delight to welcom elisa to our board of director said garri mcguir ceo of rmg network,positive
net sale of the veget oil busi rose to eur mn from eur mn,positive
the option might includ a partial or total divest of their sharehold in ovako,neutral
as capac was cut with the passeng load factor was down percentag point,negative
the connect unit has more than e-invoic custom and the number of annual transact stand at near one million,neutral
in january-septemb oper profit total eur mn,neutral
scanfil a system supplier and contract manufactur to the communic sector will start personnel negoti in oulu in finland to lay off staff temporarili,negative
dilut loss per share stood at eur versus eur,positive
tesco abandon video-stream ambit in blinkbox sale,negative
for net profit was eur million and the compani paid a dividend of eur apiec,neutral
after the takeov cramo will becom the second largest rental servic provid in the latvian market,positive
is troubl brew at legal general group plc and aviva plc,negative
galeria podlaska a shop mall on wysockiego street in bia ystok is approxim -percent leas or reserv,neutral
sale at the unit slump last year after the industri was hit by poor snowfal in the major resort in the winter of -,neutral
as report june both circuit continu to altern report the track as vacant and then occupi almost constant from june when part of the track signal devic was replac to the time of the crash accord to the metro sourc,neutral
accord to a-rehu s manag director jouko lahtinen the project will stabilis cost and improv suppli secur,positive
sponda will record a profit from the sale of mln euro mln,positive
daili mail parent compani in talk with potenti partner about joint bid for yahoo internet asset yhoo,positive
affecto will provid a new efi data warehous and report solut behaviour score system support oper decis process and data migrat from old legaci system to the new efi system,neutral
in finland the bank of àland report it oper profit fell to eur mn in the second quarter of from eur mn in the second quarter of,negative
also cba is to issu a benchmark year fix rate deal in euro,neutral
oper profit of the asian plant grew mark,positive
finnish softwar develop baswar oyj said on novemb it us subsidiari baswar inc won an order to provid softwar for contract lifecycl manag to an unnam us medic technolog compani,positive
then it said the contract was estim to contribut more than eurm to it net sale in,positive
technopoli has approxim custom compani in jyvaskyla,neutral
the lay-off will affect peopl out of the total okmet employe in finland,neutral
scanfil will execut the temporari lay-off by mid-octob and the job cut by march,negative
compar with the ftse index which rose point or on the day this was a relat price chang of -,neutral
the new polici was also aim at make the compani more profit and competit,positive
traceyryniec not just energi it so broad you will see it in wwg and kaman as well id be short fast,negative
aviva fine million by uk regul over fee fail,negative
a total of job will be reduc at the raah steel work,negative
earn per share ep amount to a loss of eur,negative
the deal cover stockmann auto oy ab s sale and after-sal servic concern volkswagen and audi in helsinki espoo and vantaa,neutral
unilev profit rise despit sale slump in china,positive
finnish cutleri and hand tool maker fiskar oyj abp hel fisa said today it net profit rose to eur million usd m in the third quarter of from eur million a year earlier,positive
the baltimor polic and fire pension which has about billion lost about million in madoff ponzi scheme,neutral
the implement of these program has had and will have negat impact on and earn mr meiklejohn said,negative
product level have been agre with produc a long time ago so a fall in consumpt will lead to loss,negative
wpp world largest ad agenc report strong growth,positive
the unit is plan to be oper dure the second half of and in full stream in,neutral
oper loss total eur mn compar to a loss of eur mn in the correspond period in -,negative
oper profit for the quarter april-jun amount to eur m on net sale of eur m,neutral
the solut will now be expand to includ all ground staff task,neutral
ouch look like tsla short get skin again,positive
watch these bancostheyr hold up relat well compar to the broad market xlf bac gs c --larg c buy in bac in backburn,positive
rsa s share close at p at the time of go to press,neutral
oper profit befor non-recur item was eur mn in the first nine month of compar to eur in the correspond period in,neutral
in addit cramo and peab have sign exclus five-year rental agreement in finland and have extend their exist rental agreement in the swedish market for anoth five year,positive
eurochem cfo andrey ilyin said this facil mark anoth import step for eurochem in secur the long-term financ necessari for our potash and other strateg project,positive
the valu of the order is about eur mn,neutral
linkedin revenu up near lnkd,positive
the group s cash flow from oper will be posit,positive
in q of the compani s oper loss total eur mn compar to a profit of eur mn in q of,negative
slv pos been say it for year go lower forget about it or go short,negative
the finnish compani is build a mt-year biodiesel plant in singapor,neutral
it allow the young child to move forward with his life,positive
to showcas our end-to-end capabl at the mobil world congress we arrang an intern meego applic develop competit to entic develop to creat new applic,neutral
renatta frvan kjepenet rptl strong close plnr come,positive
academ claim googl android two-factor authent is breakabl secur authent hack goog,negative
share in royal and sun allianc continu to slide back from a -month high of p last month after a potenti suitor rule itself out of a takeov bid,negative
oper loss increas to eur mn from a loss of eur mn in,negative
finnish sampo-rosenlew manufactur approxim seven forest machin month and about half of machin are export,neutral
tullow oil suspend dividend amid oil price fall,negative
also a six-year histor analysi is provid for these market,neutral
adb technic alert expans breakout gilligan island sell setup volum surg and new,positive
the fix acquisit price amount to nok approxim eur million and addit price nok eur million at maximum,neutral
technik i still have a smaller gild pos be veri tender with cash due to volatil so reluct to keep mani big posit,positive
in the compani s net sale amount to approxim eurm and it has some employe,neutral
the prosecutor is also demand outokumpu pay a fine of eur at most,negative
casino red befor the bell lvs - wynn - wynn - unusu comibin of what run what red befor the bell,negative
lloyd bank group share price lift amid report bank is pois to axe hundr of uk job,positive
vanhanen said the strike would be extrem damag as some particip and report begin to arriv in finland for the one-day eu summit with russian presid vladimir putin in lahti about kilomet mile north of helsinki,negative
export declin by percent to million liter,negative
at this growth rate pay off the nation debt will be extrem pain,neutral
lnkd daili phase retest - price experienc earli reject can it retest,negative
her present posit is the director of stockmann s intern depart store,neutral
the amend will not incur addit cost,neutral
in the third quarter of fiscal efor swung to a net loss of eur versus a net profit of eur for the correspond period of fiscal,negative
follow the issu the new share will constitut percent of the firm s capit,neutral
last year upm cut product close mill in finland and slash job,neutral
grapevin citi offici in septemb approv million in tax rebat and grant for the expans,positive
satama s net sale would be higher than the year befor,positive
we aim to ensur that vacon is in good shape when capit expenditur start to pick up again comment vacon plc presid and ceo vesa laisi,positive
finnish stockmann group s mail order unit hobbi hall has launch a trial market campaign in russia,neutral
finnish suominen corpor that make wipe nonwoven and flexibl packag expect chang in the market situat to reduc sale of suominen s nonwoven and wet wipe from the previous estim volum,negative
aapl i am big out from this seem it fall toward,negative
as a result of these transact the aggreg hold of burril life scienc capit fund lp has decreas below per cent of the total number of share and vote of the compani,negative
the bond with a matur of five year is part of the bank s domest bond program,neutral
mr kari stadigh will carri on as chairman of the board and mr matti arteva as vice-chairman,neutral
peer peugeot fell pct as it sale rose onli pct from the same period last year,negative
yelp wayyy overvalu right now imo should be trade singl digit may take a short pos into earn near term target,negative
pcln back to back intraday revers look out below short move in!,negative
the oper loss amount to eur mn compar to a profit of eur mn a year earlier,negative
octob - finnish paint and coat compani tikkurila oyj hel tikv announc today the launch of tikkurila prohous method for protect of wooden surfac via treatment with ultra pro waterborn product,neutral
howev sale return to growth in april-jun ceo pekka eloholma said,positive
the measur result from decreas demand in technic design and product inform,negative
notabl gainer among liquid option name this morn includ stx nem wdc x and gme,positive
caixabank dos santo agre on plan for bpi angola exposur,positive
fb tsla crack lower earli short correct stock,negative
the stock is trade abov both it map and the -day map of sek is higher than the -day map of sek a bullish indic,positive
ndx compon tesla has announc it is recal model x suv tsla,negative
adp news - feb - finnish broadband data communic system and solut compani telest oyj hel tltv said today it net profit decreas to eur million usd m for from eur million for,negative
vegastrad look like good entri for qihu here,positive
the world s second largest stainless steel maker said net profit in the three-month period until dec surg to euro million us million or euro us per share from euro million or euro per share the previous year,positive
british american tobacco first-half sale hurt by currenc move,negative
aapl clear this descend trend line buy area now,positive
the compani s profit befor tax fell to eur mn in the third quarter of compar to eur mn in the correspond period in,negative
- profit befor tax was eur million,neutral
biohit said that it will reduc the number of leas personnel by and lay off of it own personnel,negative
metsaliitto said that it will book a minor gain of less than eur m from the transact,positive
chief execut offic olli-pekka kallasvuo s chang on tuesday mark the third time in nine month the compani has reshuffl execut and oper as nokia lose ground to appl s iphon and rim s blackberri,negative
last year sysopen digia invest in ibm product know-how in the build of portal and trade place system and success implement custom solut support by it,positive
the tighten competit situat in the product autom market has affect net sale dure cencorp said,negative
it is also pct abov the -month volum weight averag price of the stock,positive
the reduct will be conclud by autumn,neutral
mobil data transfer is expect to increas explos in the lte era,neutral
the product is to be liquid befor june and employe loos their job,negative
rad all my chart are flash oversold,neutral
astrazeneca bag anoth cancer drug deal this time with inovio,positive
zao yit moskovia build hous in moscow and it surround citi,neutral
frost sold share for million at - per share compar with friday s high of and low of,negative
payment for acquir share will be made in cash and the price per share will be eur plus an administr fee,neutral
eu regul clear billion-plus ab inbev sabmil deal,positive
talentum expect that the net sale of it core busi will increas in compar to,positive
share can still be subscrib for with seri e share option max,neutral
oper profit for the nine-month period increas from eur m and net sale increas from eur m as compar to the correspond period in,positive
at pm the omx helsinki index was pct lower at,negative
finnish pâyri has been award an engin contract by cfr the nation railway compani of romania,positive
the finnish nation carrier said net loss in april through june was euro million down from a net profit of euro million a year earlier,negative
howev sale return to growth in april-jun ceo pekka eloholma said,positive
accord to the notif the hold of ameripric inc and it group compani are now in total share which repres of tekla -¦ s share and vote right,neutral
no financi detail were avail,neutral
rt stockdemon think short here into close might be play spi - high beta reversinglook worth a shot,negative
all right reserv,neutral
global sport equip maker amer sport corp whose brand includ atom salomon and wilson saw a percent increas in third-quart net profit to euro million million on strong sale and cost cut,positive
oriola-kd is a spin-off of finnish pharmaceut group orion oyj s wholesal divis,neutral
dealer said the share was larg hit by investor disappoint about a refin margin of just usd per barrel for the quarter and the perform of it ship unit which saw ebit drop to mln eur from mln eur a year amid a fall in volum and tanker rate,negative
current it oper a fleet of eight carrier as well as nine pusher and barg,neutral
oper profit for the -month period decreas from eur m while net sale increas from eur m as compar to,negative
hargreav lansdown share price fall as cost mount - although pension,negative
after the report period bioti north american licens partner somaxon pharmaceut announc posit result with nalmefen in a pilot phase clinic trial for smoke cessat,positive
skh long setup watch for continu and volum expans here hot sector,positive
howev the rapid increas cost and the strengthen of the euro were challeng for the whole industri and they impact on our result,negative
the busi to be divest offer dairi edibl fat ready-m and ice-cream packag to multin and local custom,neutral
scopi chief busi excel offic eng,neutral
the plan facil estim to cost around million would be the largest biodiesel plant in the world and use palm oil certifi by the roundtabl on sustain palm oil rspo,positive
earn per share ep in amount to a loss of eur,neutral
- the group -¦ s sale dure the period were eur million eur million - and profit befor tax was eur million,neutral
the invest and oper chang enabl addit optimis of the work hour and therebi further cost save of some -,positive
the compani aim to maintain this trend in profit dure the current year,positive
the object is that trade in the share will commenc on may,neutral
besid we have increas the share of meat in various sausag and are offer a number of new tast in the grill product and shish kebab segment paavel said,positive
athn seem like a good short setup stop abov the day no posit,negative
an audio webcast will be avail live and archiv on cerner s web site at,neutral
howev the broker rate on the stock differ,neutral
helsinki afx - kci konecran said it has won an order for four hot metal ladl crane from indian steel produc bhushan steel and strip ltd,positive
merkel govern said to support deutsch boerse-ls merger,positive
im like the price action in swks current my target befor year end,positive
strong brand visibl nation and region is of primari import in home sale vehicl and consum advertis,neutral
kndi break that hod on volum and we have a nice consolid complet for anoth run,positive
juha-pekka weckstrâm has been appoint presid of telecom group teliasonera finland to succeed esa rautalinko,neutral
enclos is affecto s call for extraordinari general meet to be held on juli th where the main agenda is to approv the author to the board for the propos share issu relat to the compon softwar acquisit and to elect haakon skaarer to the affecto board,neutral
compar oper profit for the quarter decreas from eurm while sale increas from eurm as compar to the third quarter,negative
it will report full-year result on august,neutral
efut hod post buy pm at,positive
sbux head for the dma and certain doom if it can not hold there,negative
oper loss total eur mn compar to a profit of eur mn in the correspond period in,negative
no financi detail were avail,neutral
upm said the move will lower net profit by xac million us million in the second quarter main due to impair charg,negative
bae systemss sale boost by european typhoon and currenc,positive
european stock hover near -week low dialog and bhp slump,negative
our custom come from the follow countri uk usa spain franc itali germani china hong kong sweden norway netherland austria belgium switzerland czech republ finland canada russia ukrain denmark ireland south korea and liechtenstein,neutral
efut hod post buy pm at,positive
isrg break out confirm bought leap good trading!,positive
oper profit rose to eur mn from eur mn,positive
investor remain skeptic about shell-bg deal,negative
intercontinent hotel group share price climb on bn special dividend,positive
activ ship is essenti for finland,neutral
earn per share ep in decreas to eur from eur in,negative
in the report period ep stood at eur versus eur,negative
spi vxx aapl the parti over load on uvxi volatil is back,negative
pretax loss total eur mn compar to a profit of eur mn in,negative
fb watch for bounc tomorrow,positive
soon after the collis start,neutral
finnair s tallinn-bas subsidiari aero as carri passeng a declin of on rout between helsinki and the baltic capit and within southern finland,neutral
the mall is part of the baltic pearl develop project in the citi of st petersburg where baltic pearl cjsc a subsidiari of shanghai foreign joint invest compani is develop home for peopl,neutral
ep drop to eur from eur,negative
cash flow from oper in january-decemb was a negat eur mn compar to eur mn in the correspond period in,negative
the board further said the compani omit to tender for a substanti part of the work and as such they had right been found non-respons by the evalu team,neutral
finnish financi softwar solut develop baswar oyj said it net profit fell to euro mln for the first quarter of from mln euro mln a year earlier,negative
pretax loss total eur mn down from a profit of eur mn in,negative
costco a premier retail dividend play cost,positive
in talentum will disclos three interim report - q januari - march on friday april - q april - june on friday juli - q juli - septemb on friday octob,neutral
jensen njastein and mike critch the head of dovr north america busi unit will report to toivola,neutral
the group s order portfolio decreas from eur mn in - to eur mn in -,negative
yit s baltic sale in the first three quarter of total million euro repres a drop of percent year on year,neutral
oper profit for the nine-month period decreas from eur m while net sale increas from eur m as compar to the correspond period in,negative
updat -nomura rbs must pay mln in mortgag bond case-us judg,negative
camt look like might break down im out,negative
aapl downgrad is bias this stock is a buy,positive
uvxi put the chum out there at key support then next level down - care,negative
this is a signific mileston for benefon help us to secur critic usp s for our person navig product roadmap for and beyond comment simon button chief technolog offic at benefon,positive
the compani turn to earn per share ep of eur versus loss per share of eur,positive
a total of million will be invest in the project,neutral
yahoo stock is up to as the bid war pick up for the compani yhoo,positive
the custom is cooper retail osuuskauppa suur-savo,neutral
bwld bearish engulf candl,negative
diageo receiv report from unit spirit on financi irregular involv,negative
oper profit increas by to eur mn from eur mn,positive
fiskar brand report net sale of eur mn up from eur mn,positive
in the baltic countri sale fell by,negative
the deal cover stockmann auto oy ab s sale and after-sal servic concern volkswagen and audi in helsinki espoo and vantaa,neutral
aktia forecast finland s inflat at in,neutral
the prosecutor is also demand outokumpu pay a fine of eur at most,neutral
the credit cover approxim of the ship s price,neutral
for telest the acquisit mark an entri into servic busi in a market where it has long been an establish and signific supplier of product,positive
stuk today is a full servic hous expert in radiat and nuclear safeti issu,neutral
acando ab acanb ss fell percent to kronor the lowest close sinc dec,negative
finnish telecom softwar develop tecnomen oyj said on decemb it won a mln mln euro order to suppli an expans of the charg and messag system for the mobil and fix network of brasil telecom,positive
german commerzbank ag s hamburg branch and us jp morgan nyse jpm particip as arrang and dutch ing am inga as co-arrang,neutral
tesco sale pickup isnt enough,negative
ahm will also offer hotel and hotel project consult manag servic brand franchis train and sale and market servic on a pan-india basi,neutral
earn per share for january-jun were eur an increas of year-on-year eur,positive
rapala fish frenzi,neutral
salonen ad that data show produc pulp inventori in north america are declin,negative
pretax profit rose to eur mn from eur in the correspond period in,positive
finnish bank of àland report it oper profit rose to eur mn in the second quarter of from eur mn in the correspond period in,positive
ssys just re-test low should rise steadili from here it hit just trade day ago and on sept itll do it again,positive
that bearish outsid day tuesday is signific day resist still intact just my opinion sds,negative
the compani will also be compens for act as a reserv batch plant,positive
also a six-year histor analysi is provid for this market,neutral
tsla i see more downsid in next two week be care - dollar drop potenti vs up move,negative
net profit in the three month through march fell to xac million us million from xac million a year earlier the finnish compani said,negative
facebook fb receiv a buy rate from well fargo -star analyst peter stabler well fargo,positive
incap furnitur is present negoti staff cut,neutral
base on negoti with personnel some have indic their willing to move to the new locat,neutral
the estim annual valu of the frame agreement is about eur mn,neutral
tsla i see more downsid in next two week be care - dollar drop potenti vs up move,negative
oper profit decreas to eur mn from eur mn,negative
the compani generat net sale of about mln euro mln annual and employ,neutral
finnish manag softwar solut provid ixono oyj net profit decreas to euro for the first quarter of from euro mln for the same period of,negative
alexandria va may -- matti harkonen and pentti sipponen both of espoo finland osmo suovaniemi of helsinki finland and tapani tiusanen of vantaa finland have develop a paper web press devic,neutral
also a six-year histor analysi is provid for these market,neutral
net sale of the veget oil busi rose to eur mn from eur mn,positive
the pulp product in finnish kemijñrvi will also be liquid and about employe loos their job,negative
as part of the reorganis measur that will take place in spring tamglass finton will start personnel negoti that will affect it entir staff of,negative
earn per share were eur - -,neutral
in addit to fireplac export demand for line stone has exceed the level of the earlier part of the year and will continu to be clear brisker for the remaind of the year,positive
suprem court uphold million juri award against exxonmobil,negative
oper profit fell to eur mn from eur mn,negative
with the acquisit the compani will expand it offer to north central and south america it said,positive
us-bas t corp is in talk with scandinavian telecom compani teliasonera to sell it stake in uzbek cellular oper coscom an execut at coscom told interfax,neutral
oper profit total eur mn up from eur mn year-on-year,positive
